0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
merge_l,1.3105034828186035,1.530052661895752,1.6422369480133057,2.1305997371673584,2.2169301509857178,2.6124773025512695,3.1957128047943115,3.519810199737549,4.113060712814331,4.539347410202026,4.983703851699829,5.2137298583984375,6.137682199478149,6.400484800338745,7.114892959594727,7.588111877441406,8.319871187210083,9.168857097625732,9.162120580673218,10.090679407119751,10.496861457824707,11.957728624343872,12.267421245574951,12.770230293273926,13.587672233581543,14.637689352035522,15.686026573181152,16.39112663269043,17.583563089370728,18.505375146865845
merge_b,1.3319637775421143,1.6863634586334229,1.9958772659301758,2.2217092514038086,2.695312261581421,2.7442219257354736,3.1615920066833496,3.862488031387329,4.072894811630249,4.355937957763672,4.844942808151245,5.270681142807007,5.661930799484253,6.65915060043335,7.109310150146484,7.749439239501953,8.388834953308105,8.826653003692627,9.595747232437134,9.797517776489258,11.337271928787231,11.461641788482666,13.401914119720459,13.422149419784546,14.238438129425049,15.282854318618774,15.330607891082764,16.002152681350708,17.42550754547119,18.687999963760376
merge,1.46905517578125,1.799226999282837,1.966667890548706,2.46039080619812,2.3902904987335205,3.3193180561065674,2.868281602859497,4.077653408050537,4.187430143356323,4.70574688911438,5.271167993545532,5.458635330200195,5.927727937698364,6.400050163269043,7.5817930698394775,7.886134624481201,8.460623264312744,9.384722471237183,10.069704055786133,9.994312286376953,11.642922401428223,12.297120332717896,13.009788751602173,13.891364574432373,14.410569667816162,15.057650804519653,16.54696798324585,16.91560959815979,17.89423966407776,18.914120197296143
n,100000.0,110000.0,120000.0,130000.0,140000.0,150000.0,160000.0,170000.0,180000.0,190000.0,200000.0,210000.0,220000.0,230000.0,240000.0,250000.0,260000.0,270000.0,280000.0,290000.0,300000.0,310000.0,320000.0,330000.0,340000.0,350000.0,360000.0,370000.0,380000.0,390000.0
