0,1,2,3,4,5,6,7,8,9,10
merge_l,3.3099236488342285,24.87348961830139,65.94112300872803,127.59348678588867,221.2081835269928,328.34036207199097,329.19234919548035,306.07948994636536,172.41700387001038,211.67805409431458
merge_b,2.881838321685791,22.53915500640869,63.33410382270813,128.67754101753235,217.91156387329102,328.23836493492126,224.79618525505066,297.26504135131836,162.7012391090393,205.18189096450806
merge,2.9394750595092773,23.899699926376343,66.06581282615662,135.2330777645111,222.33491230010986,333.00231409072876,229.23350715637207,304.35669469833374,161.77484726905823,209.57340240478516
n,100000.0,300000.0,500000.0,700000.0,900000.0,1100000.0,1300000.0,1500000.0,1700000.0,1900000.0
